"348","ARC","Arctic Village Airport","Arctic Village","USA - Alaska","0",
"349","ARD","Alor Island Airport","Alor Island","Indonesia","0",
"350","ARE","Arecibo Airport","Arecibo","Puerto Rico","0",
"351","ARF","Acaricuara Airport","Acaricuara","Colombia","0",
"352","ARG","Walnut Ridge Airport","Walnut Ridge","USA - Arkansas","0",
"353","ARH","Arkhangelsk Airport","Arkhangelsk","Russia","0",
"354","ARI","Chacalluta Airport","Arica","Chile","0",
"355","ARJ","Arso Airport","Arso","Indonesia","0",
"356","ARK","Arusha Airport","Arusha","Tanzania","0",
"357","ARL","Arly Airport","Arly","Burkina Faso","0",
"358","ARM","Armidale Airport","Armidale","Australia","0",
"359","ARN","Arlanda Airport","Stockholm","Sweden","0",
"360","ARO","Arboletas Airport","Arboletas","Colombia","0",
"361","ARP","Aragip Airport","Aragip","Papua New Guinea","0",
"362","ARQ","Arauquita Airport","Arauquita","Colombia","0",
"363","ARR","Alto Rio Senguerr Airport","Alto Rio Senguerr","Argentina","0",
"364","ARS","Aragarcas Airport","Aragarcas","Brazil","0",
"365","ART","Watertown Airport","Watertown","USA - New York","0",
"366","ARU","Aracatuba Airport","Aracatuba","Brazil","0",
"367","ARV","Noble F. Lee Airport","Minocqua","USA - Wisconsin","0",
"368","ARW","Arad Airport","Arad","Romania","0",
"369","ARX","Asbury Park Airport","Asbury Park","USA - New Jersey","0",
"370","ARY","Ararat Airport","Ararat","Australia","0",
"371","ASA","Assab Airport","Assab","Eritrea","0",
"372","ASB","Ashgabat Airport","Ashgabat","Turkmenistan","0",
"373","ASC","Ascension Airport","Ascension","Bolivia","0",
"374","ASD","Andros Town Airport","Andros Town","Bahamas","0",
"375","ASE","Aspen Airport","Aspen","USA - Colorado","0",
"376","ASF","Astrakhan Airport","Astrakhan","Russia","0",
"377","ASG","Ashburton Airport","Ashburton","New Zealand","0",
"378","ASH","Boire Field","Nashua","USA - New Hampshire","0",
"379","ASI","Wideawake Field","Georgetown","St Helena","0",
"380","ASJ","Amami O Shima Airport","Amami O Shima","Japan","0",
"381","ASL","Harrison County Airport","Marshall","USA - Texas","0",
"382","ASM","Asmara International Airport","Asmara","Eritrea","0",
"383","ASN","Talladega Airport","Talladega","USA - Alabama","0",
"384","ASO","Asosa Airport","Asosa","Ethiopia","0",
"385","ASP","Alice Springs Airport","Alice Springs","Australia","0",
"386","ASQ","Austin Airport","Austin","USA - Nevada","0",
"387","ASR","Kayseri Airport","Kayseri","Turkey","0",
"388","AST","Astoria Airport","Astoria","USA - Oregon","0",
"389","ASU","Silvio Pettirossi Airport","Asuncion (ASU)","Paraguay","0",
"390","ASV","Amboseli Airport","Amboseli","Kenya","0",
"391","ASW","Aswan Airport","Aswan","Egypt","0",
"392","ASX","Ashland Airport","Ashland","USA - Wisconsin","0",
"393","ASY","Ashley Airport","Ashley","USA - North Dakota","0",
"394","ASZ","Asirim Airport","Asirim","Papua New Guinea","0",
"395","ATA","Anta Airport","Anta","Peru","0",
"396","ATB","Atbara Airport","Atbara","Sudan","0",
"397","ATD","Atoifi Airport","Atoifi","Solomon Islands","0",
"398","ATE","Antlers Airport","Antlers","USA - Oklahoma","0",
"399","ATF","Chachoan Airport","Ambato","Ecuador","0",
"400","ATG","Attock Airport","Attock","Pakistan","0",
"401","ATH","Eleftherios Venizelos International Airport","Athens","Greece","0",
"402","ATI","Artigas Airport","Artigas","Uruguay","0",
"403","ATJ","Antsirabe Airport","Antsirabe","Madagascar","0",
"404","ATK","Atqasuk Airport","Atqasuk","USA - Alaska","0",
"405","ATL","Hartsfield-Jackson Atlanta International Airport","Atlanta","USA - Georgia","0",
"406","ATM","Altamira Airport","Altamira","Brazil","0",
"407","ATN","Namatanai Airport","Namatanai","Papua New Guinea","0",
